id,woj,public,size,nace,nace_division,vacancies
27350,14,1,Large,O,84,2
26705,14,1,Large,O,84,1
257456,24,1,Large,O,84,2
183657,16,1,Medium,O,84,0
200042,18,1,Medium,O,84,0
26050,14,1,Large,R,91,4
27351,14,1,Large,R,91,2
26707,14,1,Large,R,91,0
36224,20,1,Medium,R,91,0
6177,04,1,Medium,R,91,0
39294,22,1,Large,R,91,0
45664,24,1,Large,R,91,0
49525,26,1,Medium,R,91,0
102014,32,1,Medium,R,91,0
40795,22,1,Medium,R,91,0
21050,12,1,Large,R,91,1
9991,06,1,Large,R,91,0
16347,10,1,Large,R,91,0
52424,28,1,Medium,R,91,0
31198,16,1,Medium,R,91,1
57947,30,1,Large,R,91,2
34436,18,1,Medium,R,91,2
60658,32,1,Large,R,91,0
27352,14,1,Large,R,91,0
4075,02,1,Large,R,91,2
12103,08,1,Medium,R,91,0
26708,14,1,Large,R,91,1
27353,14,1,Large,P,85,0
21051,12,1,Large,P,85,0
21052,12,1,Large,P,85,5
16348,10,1,Large,P,85,1
57948,30,1,Large,P,85,0
3809,02,1,Large,P,85,19
7097,04,1,Large,P,85,1
6178,04,1,Large,P,85,18
39295,22,1,Large,P,85,0
45665,24,1,Large,P,85,23
9992,06,1,Large,P,85,0
19834,12,1,Large,P,85,0
31199,16,1,Large,P,85,0
49526,26,1,Large,P,85,0
16876,10,1,Large,P,85,0
40796,22,1,Large,P,85,0
25569,14,1,Large,P,85,0
26709,14,1,Large,P,85,0
44404,24,1,Large,P,85,2
26051,14,1,Large,P,85,0
21053,12,1,Large,P,85,0
57949,30,1,Large,P,85,0
3218,02,1,Large,P,85,0
2608,02,1,Large,P,85,0
45666,24,1,Large,P,85,3
27354,14,1,Large,P,85,16
25093,14,1,Large,P,85,0
21054,12,1,Large,P,85,0
19835,12,1,Large,P,85,0
19836,12,1,Large,J,62,0
16126,10,1,Large,P,85,12
58366,30,1,Large,P,85,6
4076,02,1,Large,P,85,0
39296,22,1,Large,P,85,0
45017,24,1,Large,P,85,0
44405,24,1,Large,P,85,0
36225,20,1,Large,P,85,0
6179,04,1,Large,P,85,0
5331,04,1,Large,A,01,2
49527,26,1,Large,P,85,0
60390,32,1,Large,P,85,0
9993,06,1,Large,P,85,0
31200,16,1,Large,P,85,0
34437,18,1,Large,P,85,0
28397,14,1,Large,P,85,0
74936,10,1,Large,M,72,0
21055,12,1,Large,P,85,0
57416,30,1,Large,P,85,0
257344,30,1,Large,A,01,0
92502,30,1,Large,A,01,0
252599,30,1,Large,M,72,0
53777,30,1,Large,A,02,0
4077,02,1,Large,P,85,0
9994,06,1,Large,P,85,0
25916,14,1,Large,P,85,13
27355,14,1,Large,P,85,0
27356,14,1,Large,O,84,81
27357,14,1,Large,K,64,0
27358,14,1,Large,K,64,0
36226,20,1,Large,K,64,0
6180,04,1,Large,K,64,0
39297,22,1,Large,K,64,0
45667,24,1,Large,K,64,0
21056,12,1,Large,K,64,0
9995,06,1,Large,K,64,0
16349,10,1,Large,K,64,0
52425,28,1,Large,K,64,0
57950,30,1,Large,K,64,0
34438,18,1,Large,K,64,0
60659,32,1,Large,K,64,0
3810,02,1,Large,K,64,0
49528,26,1,Large,K,64,0
31201,16,1,Large,K,64,0
12909,08,1,Large,K,64,0
29026,14,0,Large,K,64,0
254315,14,0,Large,K,64,0
20531,12,0,Large,K,64,0
36227,20,0,Large,K,64,0
15891,10,0,Large,K,64,0
18543,12,0,Large,K,64,0
52426,28,0,Large,K,64,0
31202,16,0,Large,K,64,0
57952,30,0,Large,K,64,0
34439,18,0,Large,K,64,0
60660,32,0,Large,K,64,0
21792,12,0,Large,K,64,0
12910,08,0,Large,K,64,0
6181,04,0,Large,K,64,0
40981,22,0,Large,K,64,0
45668,24,0,Large,K,64,0
49529,26,0,Large,K,64,0
60391,32,0,Large,K,64,0
21057,12,0,Large,K,64,0
9996,06,0,Large,K,64,0
39298,22,0,Large,K,64,0
40262,22,0,Large,K,64,0
45018,24,0,Large,K,64,0
43627,24,0,Large,K,64,0
36962,20,0,Large,K,64,0
32508,18,0,Large,K,64,0
21058,12,0,Large,K,64,0
32139,18,0,Large,K,64,0
31991,18,0,Large,K,64,0
8253,06,0,Large,K,64,0
243367,06,0,Large,K,64,0
9861,06,0,Large,K,64,0
31701,18,0,Large,K,64,0
